市区町村名	市区町村コード	1974年	1976年	1979年	1982年	1985年	1988年	1991年	1994年	1997年	1999年	2002年	2004年	2007年
愛知県 武豊町	234478	6,976 	11,250 	15,814 	20,335 	21,619 	25,264 	31,884 	27,726 	31,994 	30,865 	29,351 	28,941 	30,283 
愛知県 幸田町	235016	4,803 	5,580 	7,687 	11,196 	12,927 	14,234 	19,322 	22,217 	21,677 	21,328 	21,504 	23,677 	28,582 
愛知県 設楽町	235610	432 	－	2,942 	4,679 	3,874 	4,901 	4,084 	4,655 	4,416 	3,491 	3,765 	3,555 	3,134 
愛知県 東栄町	235628	1,370 	1,923 	2,236 	2,789 	3,371 	3,617 	3,671 	3,700 	4,127 	3,951 	3,088 	3,101 	－
愛知県 豊根村	235636	23 	317 	－	623 	701 	52 	828 	59 	770 	821 	－	38 	－
三重県 津市	242012	87,047 	123,326 	147,473 	206,464 	229,028 	263,069 	329,621 	316,230 	325,715 	312,517 	274,651 	284,191 	303,084 
三重県 四日市市	242021	116,090 	154,622 	182,617 	238,627 	261,839 	302,368 	393,642 	406,495 	390,322 	391,589 	342,900 	341,390 	367,028 
三重県 伊勢市	242039	64,150 	86,236 	107,468 	132,266 	141,103 	156,099 	188,084 	188,709 	174,328 	178,520 	144,323 	149,994 	160,049 
三重県 松阪市	242047	53,896 	75,120 	103,385 	128,070 	152,245 	158,697 	200,591 	213,307 	201,104 	188,383 	173,865 	179,042 	178,958 
三重県 桑名市	242055	42,029 	53,623 	65,632 	87,441 	91,699 	111,133 	138,772 	141,603 	164,858 	166,910 	154,476 	157,051 	168,106 
三重県 鈴鹿市	242071	36,529 	61,965 	82,067 	110,702 	123,529 	149,384 	198,110 	203,049 	211,020 	211,689 	183,169 	190,823 	206,256 
三重県 名張市	242080	9,104 	15,131 	19,666 	28,740 	35,629 	44,218 	66,650 	70,759 	86,587 	79,161 	75,034 	81,683 	79,374 
三重県 尾鷲市	242098	13,100 	18,007 	24,195 	26,341 	28,434 	30,361 	34,130 	33,703 	31,394 	30,796 	24,933 	25,281 	24,221 
三重県 亀山市	242101	11,698 	15,223 	19,959 	23,799 	26,494 	30,453 	37,325 	41,089 	37,728 	37,673 	34,426 	33,880 	40,971 
三重県 鳥羽市	242110	8,131 	10,946 	14,338 	18,975 	22,203 	23,176 	32,677 	32,169 	29,609 	26,344 	17,737 	18,390 	18,229 
三重県 熊野市	242128	7,337 	11,561 	12,195 	17,235 	18,866 	19,787 	21,688 	24,097 	23,073 	25,132 	19,594 	20,617 	19,619 
三重県 いなべ市	242144	6,441 	10,661 	13,940 	19,311 	20,958 	21,469 	29,131 	31,723 	34,346 	33,409 	25,783 	26,947 	30,694 
三重県 志摩市	242152	13,300 	19,204 	28,917 	41,896 	44,421 	48,197 	62,550 	59,227 	64,680 	59,210 	48,740 	51,026 	47,595 
三重県 伊賀市	242161	31,071 	38,557 	52,381 	64,374 	73,608 	79,001 	93,593 	100,982 	108,745 	106,292 	91,034 	100,426 	105,741 
三重県 木曽岬町	243035	－	－	－	－	－	1,665 	1,908 	2,409 	2,751 	2,429 	1,782 	1,595 	2,505 
三重県 東員町	243248	1,400 	1,929 	3,063 	5,023 	6,504 	8,280 	10,464 	15,235 	16,106 	18,608 	18,992 	18,420 	17,692 
三重県 菰野町	243418	5,885 	8,434 	10,551 	13,668 	18,011 	18,660 	22,147 	25,277 	31,061 	30,643 	28,469 	30,520 	31,518 
三重県 朝日町	243434	1,002 	1,686 	2,288 	3,846 	5,305 	7,532 	8,413 	8,325 	11,518 	10,604 	－	7,697 	7,485 
三重県 川越町	243442	2,818 	6,250 	12,727 	18,613 	19,037 	18,433 	23,021 	24,197 	20,799 	20,108 	9,500 	10,428 	12,460 
三重県 多気町	244414	1,506 	1,596 	3,419 	4,235 	5,116 	5,909 	6,199 	6,729 	8,182 	6,012 	9,263 	10,028 	9,443 
三重県 明和町	244422	1,896 	2,508 	2,397 	4,553 	6,431 	7,161 	9,235 	10,547 	10,144 	9,235 	17,045 	24,512 	26,429 
三重県 大台町	244431	1,816 	3,345 	4,171 	5,975 	7,604 	8,762 	7,249 	8,329 	8,777 	10,602 	10,681 	10,091 	10,560 
三重県 玉城町	244619	3,129 	4,545 	6,115 	9,807 	11,622 	14,172 	17,972 	21,807 	24,265 	25,453 	20,830 	16,331 	16,184 
三重県 度会町	244708	526 	－	1,487 	－	－	－	2,802 	3,346 	4,761 	6,062 	4,444 	5,291 	5,478 
三重県 大紀町	244716	1,885 	2,683 	1,801 	4,681 	4,502 	4,775 	4,804 	6,094 	6,928 	6,924 	6,211 	5,536 	6,287 
三重県 南伊勢町	244724	2,882 	3,884 	5,503 	7,444 	9,336 	10,141 	12,649 	12,689 	10,508 	9,310 	8,244 	8,525 	8,898 
三重県 紀北町	245437	5,173 	7,165 	9,695 	12,558 	15,011 	15,591 	18,087 	20,254 	20,611 	19,075 	14,889 	15,602 	14,686 
三重県 御浜町	245615	1,280 	1,677 	2,254 	3,390 	3,879 	4,226 	6,554 	6,002 	5,922 	6,866 	4,356 	6,838 	6,487 
三重県 紀宝町	245623	570 	1,543 	2,233 	3,022 	4,351 	5,011 	5,754 	6,064 	5,558 	9,136 	7,392 	6,570 	6,492 
滋賀県 大津市	252018	76,003 	100,983 	144,927 	183,907 	206,490 	238,712 	303,807 	309,216 	293,035 	302,047 	267,193 	270,759 	279,619 
滋賀県 彦根市	252026	32,183 	44,541 	64,605 	82,887 	92,848 	111,722 	128,459 	140,440 	150,925 	143,899 	128,575 	130,281 	137,485 
滋賀県 長浜市	252034	35,009 	51,348 	67,253 	88,480 	94,533 	103,089 	125,737 	133,419 	135,120 	137,872 	130,062 	132,493 	126,881 
滋賀県 近江八幡市	252042	18,039 	27,373 	37,398 	47,939 	57,828 	74,254 	99,764 	106,518 	97,198 	104,816 	95,777 	92,097 	99,791 
滋賀県 草津市	252069	21,760 	33,977 	45,078 	54,669 	61,890 	69,669 	91,007 	93,855 	113,850 	138,307 	140,605 	135,741 	145,792 
滋賀県 守山市	252077	11,923 	17,226 	26,597 	35,372 	38,613 	48,218 	62,390 	61,529 	75,200 	72,718 	70,151 	71,845 	74,401 
滋賀県 栗東市	252085	13,433 	16,796 	27,137 	44,584 	47,676 	62,072 	67,606 	72,024 	59,964 	65,925 	68,445 	67,120 	76,816 
滋賀県 甲賀市	252093	24,742 	36,328 	47,446 	65,315 	70,577 	77,175 	95,938 	100,607 	99,269 	97,365 	106,040 	109,411 	108,528 
滋賀県 野洲市	252107	6,755 	10,579 	13,900 	20,719 	22,761 	26,117 	32,360 	31,802 	35,945 	34,562 	35,899 	38,369 	35,849 
滋賀県 湖南市	252115	5,826 	7,816 	12,523 	21,037 	23,424 	30,948 	42,637 	47,246 	48,094 	43,011 	37,187 	40,175 	44,296 
滋賀県 高島市	252123	15,631 	18,938 	28,540 	35,677 	39,318 	40,586 	46,981 	54,454 	56,982 	54,436 	52,591 	45,650 	51,403 
滋賀県 東近江市	252131	26,815 	35,983 	52,002 	64,930 	72,558 	79,007 	91,883 	96,715 	99,245 	103,342 	102,779 	94,776 	95,551 
滋賀県 米原市	252140	6,513 	8,866 	9,823 	16,125 	18,012 	23,787 	25,457 	27,866 	30,325 	30,677 	25,870 	22,094 	23,202 
滋賀県 日野町	253839	4,852 	6,353 	9,654 	11,294 	12,854 	13,500 	15,499 	15,840 	15,783 	17,394 	15,096 	14,025 	13,522 
滋賀県 竜王町	253847	1,454 	1,904 	2,842 	3,889 	4,414 	4,692 	5,202 	6,143 	6,624 	6,848 	6,538 	6,701 	6,175 
滋賀県 愛荘町	254258	4,030 	6,447 	7,665 	10,213 	10,983 	12,087 	14,269 	19,345 	20,408 	20,597 	19,181 	17,914 	19,001 
滋賀県 豊郷町	254410	1,710 	2,479 	3,498 	4,580 	4,747 	4,447 	6,299 	8,428 	8,074 	7,538 	6,374 	7,074 	6,805 
滋賀県 甲良町	254428	1,003 	1,102 	1,934 	2,763 	2,679 	3,523 	3,632 	2,703 	3,570 	3,600 	3,076 	2,851 	2,198 
滋賀県 多賀町	254436	1,949 	3,395 	2,339 	3,446 	4,501 	4,330 	4,252 	4,850 	4,020 	3,547 	3,770 	3,153 	7,199 
